Target Category,Category,Term,,Short Definition,Why It Matters
Basics,Hamel's list,AGI (Artificial General Intelligence),"AI that can do any intellectual task a human can. ◆ While some define AGI as AI that’s as smart as a human in every way, this isn’t something you need to focus on right now. It’s more important to build AI solutions that solve your specific problems today.",AI that can do any intellectual task a human can.,"While some define AGI as AI that’s as smart as a human in every way, this isn’t something you need to focus on right now. It’s more important to build AI solutions that solve your specific problems today."
Basics,Basics,"AI (Aritificial Intelligence)
syn: model, LLM","A language model like ChatGPT ◆ Colloquially we say AI to refer to the current generation LLMs / models. The field of AI is broad and spans decades, covers Machine Learning, Computer Vision, Speech recognition, AGI, Robotics, etc.",A language model like ChatGPT,"Colloquially we say AI to refer to the current generation LLMs / models. The field of AI is broad and spans decades, covers Machine Learning, Computer Vision, Speech recognition, AGI, Robotics, etc."
Basics,Pre training,"Assistant / Instruct model
Rel: Shoggoth with pink mask","A base model that has been fine-tuned to be a honest, harmless, and helpful assistant. ◆ This is the type of model most people interact with. The fine-tuning process is what makes it useful for real-world tasks.","A base model that has been fine-tuned to be a honest, harmless, and helpful assistant.",This is the type of model most people interact with. The fine-tuning process is what makes it useful for real-world tasks.
Basics,Pre training,"Base model
Rel: Shoggoth","A powerful text-completion engine but not a conversational assistant. ◆ There are only 10s of these out there because they're prohibitively expensive to train. They are foundational building blocks that can be customised, and taught new skills or behaviours.",A powerful text-completion engine but not a conversational assistant.,"There are only 10s of these out there because they're prohibitively expensive to train. They are foundational building blocks that can be customised, and taught new skills or behaviours."
Remove,Post training,Post-training,"The second phase of LLM creation, where a pre-trained base model is adapted to become a helpful, instruction-following assistant. ◆ This stage bridges the gap between a raw ""internet simulator"" and a useful tool like ChatGPT, aligning the model with human intent.","The second phase of LLM creation, where a pre-trained base model is adapted to become a helpful, instruction-following assistant.","This stage bridges the gap between a raw ""internet simulator"" and a useful tool like ChatGPT, aligning the model with human intent."
Remove,Pre training,Pre-training,"The initial stage of building an LLM, where a neural network learns from a vast dataset of text from the internet. ◆ This is where the model gains its foundational knowledge about language, facts, and reasoning. The massive scale of this stage is what gives LLMs their broad capabilities.","The initial stage of building an LLM, where a neural network learns from a vast dataset of text from the internet.","This is where the model gains its foundational knowledge about language, facts, and reasoning. The massive scale of this stage is what gives LLMs their broad capabilities."
Remove,Hamel's list,Pre-training,"The model’s initial learning phase on lots of data. ◆ It’s like giving the model a big education before it starts specific jobs. This helps it learn general things, but you might need to adjust it later for your needs.",The model’s initial learning phase on lots of data.,"It’s like giving the model a big education before it starts specific jobs. This helps it learn general things, but you might need to adjust it later for your needs."
Remove,Hamel's list,Prompt Engineering,"Designing prompts to get the best results. ◆ By learning how to write good prompts, you can make the AI give better answers. It’s like improving your communication skills to get the best results.",Designing prompts to get the best results.,"By learning how to write good prompts, you can make the AI give better answers. It’s like improving your communication skills to get the best results."
Remove,Hamel's list,Prompt Injection,A security risk where bad instructions are added to prompts. ◆ Users might try to trick the AI into ignoring your rules and doing things you don’t want. Knowing about prompt injection helps you protect your AI system from misuse.,A security risk where bad instructions are added to prompts.,Users might try to trick the AI into ignoring your rules and doing things you don’t want. Knowing about prompt injection helps you protect your AI system from misuse.
Remove,Hamel's list,Prompt Templates,Pre-made formats for prompts to keep inputs consistent. ◆ They help you communicate with the AI consistently by filling in blanks in a set format. This makes it easier to use the AI in different situations and ensures you get good results.,Pre-made formats for prompts to keep inputs consistent.,They help you communicate with the AI consistently by filling in blanks in a set format. This makes it easier to use the AI in different situations and ensures you get good results.
Remove,Reinforcement Learning (RL),Reinforcement Learning from Human Feedback (RLHF),"A technique that uses human preferences to train a ""reward model"" which then guides the reinforcement learning process. ◆ RLHF is the key that unlocks RL for subjective, unverifiable domains like writing quality or helpfulness. It's used to fine-tune most modern chatbots.","A technique that uses human preferences to train a ""reward model"" which then guides the reinforcement learning process.","RLHF is the key that unlocks RL for subjective, unverifiable domains like writing quality or helpfulness. It's used to fine-tune most modern chatbots."
Remove,Hamel's list,Agents,"AI models that can perform tasks or run code without human help. ◆ Agents can automate complex tasks by making decisions and taking actions on their own. This can save time and resources, but you need to watch them carefully to make sure they are safe and do what you want.",AI models that can perform tasks or run code without human help.,"Agents can automate complex tasks by making decisions and taking actions on their own. This can save time and resources, but you need to watch them carefully to make sure they are safe and do what you want."
Basics,Pre training,"Context
Rel: Context engineering","Same as prompt, but usually refers to the relevant information that's necessary to answer the question or perform the task ◆ It is the biggest lever in influencing the AI's response. The context is the model's ""short-term memory"" and it limits the complexity of tasks it can perform.","Same as prompt, but usually refers to the relevant information that's necessary to answer the question or perform the task","It is the biggest lever in influencing the AI's response. The context is the model's ""short-term memory"" and it limits the complexity of tasks it can perform."
,,,,,
Basics,Hamel's list,Hallucination,"When AI makes up things that aren’t true. ◆ AIs sometimes make stuff up, and you can’t completely stop this. It’s important to be aware that mistakes can happen, so you should check the AI’s answers.",When AI makes up things that aren’t true.,"AIs sometimes make stuff up, and you can’t completely stop this. It’s important to be aware that mistakes can happen, so you should check the AI’s answers."
Basics,Hamel's list,Inference,"Getting an answer back from the model. ◆ When you ask the AI a question and it gives you an answer, that’s called inference. It’s the process of the AI making predictions or responses. Knowing this helps you understand how the AI works and the time or resources it might need to give answers.",Getting an answer back from the model.,"When you ask the AI a question and it gives you an answer, that’s called inference. It’s the process of the AI making predictions or responses. Knowing this helps you understand how the AI works and the time or resources it might need to give answers."
Basics,Pre training,Neural Networks,Computational models inspired by the brain's structure ◆ They are the core technology that enables AI to learn from text and generate human-like responses.,Computational models inspired by the brain's structure,They are the core technology that enables AI to learn from text and generate human-like responses.
Basics,Hamel's list,Prompt,"The input or question you give to the AI. ◆ Giving clear and detailed prompts helps the AI understand what you want. Just like talking to a person, good communication gets better results.",The input or question you give to the AI.,"Giving clear and detailed prompts helps the AI understand what you want. Just like talking to a person, good communication gets better results."
Basics,Pre training,Stochastic,"AI's Nature of being probabalistic, rolling the dice ◆ This is why you can get a different answer every time you ask the same question. It allows for creativity but also unpredictability.","AI's Nature of being probabalistic, rolling the dice",This is why you can get a different answer every time you ask the same question. It allows for creativity but also unpredictability.
Basics,Post training,System Prompt,"A hidden instruction given to the model about its persona, rules, and identity. ◆ It's a powerful way to steer the AI's behavior consistently without the user seeing the underlying instructions.","A hidden instruction given to the model about its persona, rules, and identity.",It's a powerful way to steer the AI's behavior consistently without the user seeing the underlying instructions.
Basics,Pre training,"Tokens
Rel: tokenisation, encoding, vocabulary","The pieces of text that a model understands, it can be a word, a part of a word, or a character. ◆ Token impacts model abilities, especially with tasks like spelling or character manipulation. Also, you pay for AI based on the number of tokens used, so knowing about tokens helps manage costs. The vocabulary of tokens depends on training data, and it impacts performance in multilingual or esoteric domains.","The pieces of text that a model understands, it can be a word, a part of a word, or a character.","Token impacts model abilities, especially with tasks like spelling or character manipulation. Also, you pay for AI based on the number of tokens used, so knowing about tokens helps manage costs. The vocabulary of tokens depends on training data, and it impacts performance in multilingual or esoteric domains."
Remove,Pre training,Encoding,"The process of converting data from a human-readable format (e.g., text, images, audio) into a numerical representation that a machine learning model can process.	 ◆ AI models operate on numbers, not raw data like pixels or characters. Encoding is the crucial bridge that translates real-world information into a mathematical format the model can process, making it the foundational first step for any AI task.","The process of converting data from a human-readable format (e.g., text, images, audio) into a numerical representation that a machine learning model can process.	","AI models operate on numbers, not raw data like pixels or characters. Encoding is the crucial bridge that translates real-world information into a mathematical format the model can process, making it the foundational first step for any AI task."
Remove,Pre training,Attention,"Mechanism that lets the model focus on relevant parts of the input ◆ This is a crucial ability for understanding language. It makes language models faster, more accurate and capable of capturing nuanced meaning.",Mechanism that lets the model focus on relevant parts of the input,"This is a crucial ability for understanding language. It makes language models faster, more accurate and capable of capturing nuanced meaning."
Pre training,Hamel's list,Distillation,"Making a smaller, faster model from a big one. ◆ It lets you use cheaper, faster models with less delay (latency). But the smaller model might not be as accurate or powerful as the big one. So, you trade some performance for speed and cost savings.","Making a smaller, faster model from a big one.","It lets you use cheaper, faster models with less delay (latency). But the smaller model might not be as accurate or powerful as the big one. So, you trade some performance for speed and cost savings."
Pre training,Hamel's list,Hyperparameters,"Settings that affect how the model works. ◆ These include the number of layers, vocabulary size, and dimensions of the model. By adjusting these settings, you can make the AI learn better. It often takes trying different options to find what works best.",Settings that affect how the model works.,"These include the number of layers, vocabulary size, and dimensions of the model. By adjusting these settings, you can make the AI learn better. It often takes trying different options to find what works best."
Pre training,Pre training,Knowledge cut-off,"The date beyond which a model has no information. ◆ This is a fundamental limitation of current LLMs, because they stop learning after training is complete. They don't have real-time knowledge unless they are augmented with tools like web search.",The date beyond which a model has no information.,"This is a fundamental limitation of current LLMs, because they stop learning after training is complete. They don't have real-time knowledge unless they are augmented with tools like web search."
Pre training,Pre training,Loss,A number that measures how wrong the model's predictions are during training. ◆ The goal of training is to minimize the loss. Watching the loss go down is how researchers know the model is learning.,A number that measures how wrong the model's predictions are during training.,The goal of training is to minimize the loss. Watching the loss go down is how researchers know the model is learning.
Pre training,Hamel's list,Multimodal,"Models that handle different data types like text and images. ◆ People use words, pictures, and sounds. When AI can understand all these, it can help users better. Using multimodal AI makes your tools more powerful.",Models that handle different data types like text and images.,"People use words, pictures, and sounds. When AI can understand all these, it can help users better. Using multimodal AI makes your tools more powerful."
Remove,Post training,Chains of Thought,"The process of having a model ""think out loud"" by generating the intermediate steps of reasoning required to solve a problem. ◆ This technique dramatically improves a model's performance on complex reasoning tasks by forcing it to slow down and show its work.","The process of having a model ""think out loud"" by generating the intermediate steps of reasoning required to solve a problem.",This technique dramatically improves a model's performance on complex reasoning tasks by forcing it to slow down and show its work.
Pre training,Pre training,Neural network architecture,"Design of the math functions that create the neural network ◆ It influences ability to learn, scalability, modalities, and training / inference cost. Breakthroughs here are big. Examples include Transformer, Mixture of Experts (MoE), State Space Models (SSMs), Multimodal / Unified, Matryoshka Representation, etc.",Design of the math functions that create the neural network,"It influences ability to learn, scalability, modalities, and training / inference cost. Breakthroughs here are big. Examples include Transformer, Mixture of Experts (MoE), State Space Models (SSMs), Multimodal / Unified, Matryoshka Representation, etc."
Pre training,Pre training,"Parameters
Rel: weights, model size","The learned ""long-term"" memory, represented as billions of numbers ◆ Providing more parameters allows training on more data and creating more capabilities. It's also slower and more expensive to train and run. Conversely, smaller models are cheaper and faster, but lesser capable.","The learned ""long-term"" memory, represented as billions of numbers","Providing more parameters allows training on more data and creating more capabilities. It's also slower and more expensive to train and run. Conversely, smaller models are cheaper and faster, but lesser capable."
